,0,1,2
425,1848204642,Best Friend (Remix) 好朋友,A Few Good Kids Records
426,1849277255,接电话（翻自 姜云升）,Morty___D
427,1859948021,姜云升 - 神明かみ,风寝
428,1358276770,真没睡,姜云升
429,1874158536,SAD,姜云升
430,1818613217,放心的交给我,EDA
431,1812652393,玲,EDA
432,1423158078,桃子苏打加冰,迪迪
433,535761231,爱人Remix,Bacup八杯
434,1313321629,珍珠,RA
435,1333395577,夜行,队长
436,1334499416,宝贝快睡,BigYear大年
437,454556889,你说,李迦南Doc
438,1329772510,没有人的沙漠,SHARK卫彬月
439,1374086946,放个大招给你看,永彬Ryan.B
440,1903712106,SAUCE,yimkimlim
441,1485939891,NINETEEN,Young 24
442,1449870003,凶手,Young Drug
443,1407836036,我,Y0oJa
444,1384897951,mango,Y0oJa
445,1446431088,Owe (prod by 毒猫毒猫）,Young Drug
446,1460082056,Jumped Into the Abyss,Y0oJa
447,1492388852,KnowKnow-你（₩ay remix）,Way
448,1418441481,BITEME,Y0oJa
449,1481223344,燃点{Prod房间里的大象},是烟尘_
450,1874240243,反抗（live）,朝雏磔人
451,1884633460,谢谢你们喜欢我,姜小白
452,1884821578,狂欢-姜云升,潦草诗
453,1888423650,尘埃落定-姜云升,潦草诗
454,1872228447,赐我（原版）,潦草诗
455,1888424139,做自己-姜云升,潦草诗
456,1892612897,姜云升今晚月色真美,愫
457,1855280246,LBCx-浪漫主义小h歌（ahua啊华 remix）,ahua啊华
458,1872233161,你在乎钱还是我（翻自 姜云升）,潦草诗
459,1887917182,浪漫主义,姜云升
460,529987424,King's Dead,Jay Rock
461,1382881227,I C Your ********,Snoop Dogg
462,1415767465,Life Is Good,Future
463,29753125,Problem,Ariana Grande
464,1492523045,Yummy,Justin Bieber
465,2113869,Dance,50 Cent
466,3243293,Forget Me Nots,Patrice Rushen
467,1475791050,Boys,Lizzo
468,415793860,GOOD BOY (Live),GD X TAEYANG
469,1472192594,In n Out,Latto
470,1498066118,Young Boss 2.0,Lambert
471,1501467758,orange peel,RXNIN
472,1899702691,独白,#0000FF
473,1459232593,But U,NINEONE#
474,528094899,My Hot Girl,Gibb-Z
475,862460559,Beautiful,IAN-T
476,488249475,哪里都是你,队长
477,1825517848,今 天 想 我 没,久木
478,1446396353,in the mood,梁老师Tsong
479,1388594935,No Princess,暴躁的兔子
480,1382592787,天空下着小雨,函几hanji
481,1854594781,禁止恋爱,Awe
482,1413522653,H.,李子豪(HtFR)
483,1436076578,COCO,Aioz
484,28830157,莫名我就喜欢你,C-BLOCK
485,1890983702,专一,au-is
486,1894065139,草莓冰淇淋Strawberry Ice Cream,YaoZhaoke
487,497034035,陪着你走,Gibb-Z
488,1402845091,你想去哪里我都陪你 (Jerry Sprunger Remix),马思唯
489,1313492530,你算哪块小饼干,扬科YANGK
490,29732095,"She Twerkin (feat. Cash Out, Lil Boosie, Juicy J & Ty Dolla $ign)",KiD Ink
491,1325114829,Toot That Whoa Whoa,A1
492,1487048444,면회실,Loco
493,1499595999,Better,BoA
494,1845740923,Advice,泰民
495,1499319921,음 (Mmmh),KAI
496,1836823278,Don't Call Me,SHINee
497,1482090513,Uproar,Lil Wayne
498,1472667833,Ain't It Different,Headie One
499,1397140986,Big Booty (feat. Megan Thee Stallion),Gucci Mane
500,486111543,7538(Me U-Remix),KT
501,451169473,骗自己PT.2,AY楊佬叁
502,1415829224,零几年听的情歌,AY楊佬叁
503,1487528112,经济舱 (Live),Kafe.Hu
504,1811408619,关机又关机,YangYang
505,1308818967,飘向北方 (Live),那吾克热-NW
506,1370506591,第七代（翻自 Untypical Context） ,刀刀
507,1378361115,MGK-打狗棒（大狗diss）（Double$ remix）,刀刀
508,462565213,谢谢你,Mc光光
509,1362172653,swag shxx,Mc光光
510,518180316,Go Hard,Scott Chen
511,1853255028,【FREE】''战舞‘’,FireX
512,1853259080,【FREE】‘’暴风雨‘’,FireX
513,1848450484,''烈日灼心'',FireX
514,1843065062,【FREE】''VVS'',FireX
515,1841081858,Blue cheese,miller
516,1832962207,''南瓜陷阱'',FireX
517,1832495572,【血色钻头】DRILL TRAP BEAT,Lil Nickle
518,1830689079,"G.O.O.D. (prod. IBM, miller)",Internet Beats Mob
519,1830231111,【FREE】''Feathers'',FireX
520,1902070004,MUMKIN EMAS忘记你是不可能的,AlimjanAbdurezak阿力木江
521,26118064,紅三四郎,堀江美都子
522,4880738,Into the Battlefield,大坪直樹
523,5051245,Battle Without Honor Or Humanity,布袋寅泰
524,22691884,Destiny -太陽の花-,島谷ひとみ
525,1846172362,ミライ,L'Arc〜en〜Ciel
526,1840862630,もう少しだけ,YOASOBI
527,536622304,Lemon,米津玄師
528,592049,春の風,熊木杏里
529,26018418,風の記憶,熊木杏里
530,1327824730,了解一下,AY楊佬叁
531,1426022013,黑马王子,马思唯
532,1395813260,宝贝我不渣,BigYear大年
533,1498832206,透过双眼,Seven-A
534,1298219148,你的前男友,Young 7
535,1479267454,银河赴约,梁坤
536,1473623862,送给一万两千公里外的你,函几hanji
537,1498385016,什么叫做白日梦你真的不懂,驼儿
538,1460874108,城市日记,BigYear大年
539,1478381001,外套2.0 (Live),mac ova seas
540,1874082373,醒醒别做梦,EDA
541,1836902063,Teen,YeeN1ng
542,1836563316,浪漫特调(Could you),Laxy
543,1812652393,玲,EDA
544,1803892407,随便玩(Prod by 9zi),FreeCookie
545,1493474588,马里布(MALIBALI),ABLE
546,1818504124,红包（Red Packet）,ABLE
547,1817365909,水晶球(Crystal Ball),ABLE
548,1816351424,love hurts,郁未尽YBZ
549,1815183348,抑郁未尽,郁未尽YBZ
550,545350946,changes,XXXTENTACION
551,1426775937,Who,Lauv
552,16435049,Someone Like You,Adele
553,1861602575,봄비,SINCE
554,1845777606,SUN GOES DOWN,Lil Nas X
555,1489939130,Yea Yea Yea,Skrxlla
556,1470632839,Honey!,Tabber
557,1342552171,Boiling Point (Prod. by 0channel),PUNCHNELLO
558,1856719868,PACIFICA,Oliver Dodge
559,1849669210,LOST,Khakii
560,1437344553,elegance+++lilac,yandere
561,1883441017,"Free Sad Piano Type Beat - ""Zombie""",EVO MUSIC
562,1903436321,"[Free]""Papaver "" - Future Type Beat",BirdS
563,1483882302,[Free]Annihilated Fire (prod.YoungMarkin&Bvlloon),Bvlloon
564,1864459907,"""999"" - Juice WRLD Type Beat",RYE31
565,1857328211,‘免费’丨Always（Prod by UNIVERSE 444）,UNIVERSE 444
566,1844446203,[Free]''RUNAWAY'' - iann dior X guitar type beat,Rick1y
567,1384000529,"「FREE」""Soda""",Mocookie
568,864361601,"[Free]""get bombed""(Prod. by Song9)",SOULFRESH BEATS
569,1379899712,[FREE] Walk - Smokepurpp x Ronny J type beat,CA$HK!D
570,533259686,BINGBIAN病变（原版）,Cubi
571,488249475,哪里都是你,队长
572,460578140,感谢你曾来过,周思涵
573,430793721,当妮走了,徐真真
574,1830753420,想你想你想我(抖音版),苏甜
575,496370620,断线,Shang
576,1434962352,就此别过,阿林
577,1363205817,你走以后1.0,王恩信Est
578,1347743357,最後一次,高尔宣
579,1340620864,真的走了,徐真真
580,420401441,嘲笑声,Big Daddy
581,471327844,继续,IIYC
582,1386259535,飞,王恩信Est
583,440241201,追梦的蚂蚁,JAEFOREAL
584,518725853,篝火旁,吕大叶
585,447846372,I wanna (Everlasting Truth Remix),ivan蛋挞
586,503324868,一路同行,mc暴徒
587,420397447,我就是我（路慈航 feat.张小雨）,合肥MTS
588,492883034,How are U,NaCho
589,429459389,背水一战,RAPPER32
590,1827059566,空壳,谢帝
591,1429588479,ak final,叫我AK
592,501529541,嗯哼?,丸
593,1354081533,糜烂,KANG
594,1453607421,葬,89DX
595,541648644,颓,九块钱
596,445154882,三千里,C-BLOCK
597,1456890009,Follow（罗生门）,梨冻紧
598,1429392677,花开,Copy
599,1304827183,十万块,斯威特MCSWEET
600,532779053,伤肺女孩,苏帕西
601,1405892289,垮掉的一代,未来星B3Rich
602,1479388470,日落时分 (Sunset),黄鹄举
603,1311751378,早安和你,WTM西瓜
604,1474172653,一字千金,3Bangz
605,1464575381,爱像蒲公英,88LIEN
606,1497575214,破衬衫,巴邓顿珠
607,1454166475,Sunflower,Yez叶子铭
608,1822070829,GLORY,邓典果DDG
609,1464970535,High $ociety,Don Caine $aint Laurent AK 东晓
610,1863124059,狂欢泡泡,Kyra Zilver
611,1857272901,2045 (BENZO REMIX),LEGGO
612,1857272913,NOVA,LEGGO
613,1857210297,Matrix,Fcyco
614,1847485734,DonQ,Kyra Zilver
615,1810308834,I/O,艾瑞欧ERIOE
616,1843000572,WooStyle(無風格) (Live),Kyra Zilver
617,1826189040,Beautiful Life,Mai
618,1826189042,"Like this,Like da",Mai
619,1826189043,Stone Heart,Mai
620,1480444209,in the mood,方方土
621,1456890009,Follow（罗生门）,梨冻紧
622,1313107926,攀登 (Live),潘玮柏
623,1487528112,经济舱 (Live),Kafe.Hu
624,1308818967,飘向北方 (Live),那吾克热-NW
625,518682659,泡沫（Swang Remix）,Swang多雷
626,1383954630,Hey KONG,KEY.L刘聪
627,1823305772,Promise,HARIKIRI
628,1336856498,我想part2,法老
629,1459439332,通宵,直火帮XZT
630,1897945580,[FREE]警报,MEGA
631,1885117312,霓虹,MEGA
632,1871950902,"【FREE】""绝对防御""BoomBap SMTM Type Beat",MEGA
633,1898161381,【Free Beat】'On a Mission',SAXON
634,1898144770,[FREE] '' All Love '' Lil Durk × Polo G Type Beat,海森堡Heisenberg
635,1895926785,[FREE]枪烟,MEGA
636,1895926694,[FREE]玫瑰,MEGA
637,1886068632,Waiting,MEGA
638,1885117138,"[FREE]""Journey""POP/R&B Type Beat",MEGA
639,1892824227,[FREE] Beat '' Go Off '' 160BPM,海森堡Heisenberg
640,1859933792,幸运儿,李尔新
641,1363561885,I Don't Care Freestyle,Mengzi
642,1441097880,¥ FREESTYLE,ATM顶级玩家
643,1394369626,4REAL,Mengzi
644,1361002245,唐伯虎,Mengzi
645,1361002221,金足印象,Mengzi
646,1824266338,该睡的睡 该醒的醒,Ty.
647,1378141820,禁止通行,YOUNG
648,1361001352,Love In Deep,Mengzi
649,1411763880,朋友,ATM顶级玩家
650,1888701651,[Free]''Too Late'' - Pop Punk/Rock x MGK Type Beat,Rick1y
651,1864704527,-Beat-Cry pop punk beat MGK x jxdn type.,jos10
652,1899402507,"Free Pop Punk Beat - ""Anywhere With U""",EVO MUSIC
653,1898695885,[FREE]''Glow'',jos10
654,1895602160,"""暴雨"" // TOYOKI × Mac Ova Seas type beat",Xxankid
655,1894705200,[FREE] 广州,XVIBE
656,1865959165,-Beat-Stars pop punk beat 347aidan x jxdn type.,jos10
657,1813831359,【FREE】mgk x juice rock type beat,ABAYBAY
658,1895100901,[NOT FREE] w Hook ''Nov Rain'',jos10
659,1898189254,[Free]''一点也不好'' - Pop Punk/Rock x MGK Type Beat,Rick1y
660,523249337,独行侠,法老
661,1827059544,BOSS,谢帝
662,1335715032,Only U,ICE
663,1347134784,高级爱情故事,Ty.
664,1419843365,厦门航空,八口8uck
665,1368588649,AYO！FEVER,AYO!
666,1311347322,Unicorn (Live),Lil Ghost小鬼
667,864829445,四驱兄弟4MaticBros 2018 Cypher,3Bangz
668,1349764553,听汀,沙一汀EL
669,1432491214,早点早点,沙一汀EL
670,1426022018,花花公子 (feat. step.jad),马思唯
671,1887917182,浪漫主义,姜云升
672,1876818680,C.HØPE-沉沦与遐想+花太阳彩虹你+花花公子（DJ Boen remix）,DJ Boen
673,1492584510,沉沦与遐想,C.HØPE
674,1895330088,予你,队长
675,1860542604,苦茶,火鸡
676,1844448537,可能,队长
677,1838763739,trust me,sunkis 宋秉勤
678,25706282,夜空中最亮的星,逃跑计划
679,1836086844,和你 (Live),Lil Ghost小鬼
680,1870330890,K.Dawn-flexroom（by higher singing）（开心就好 remix）,开心就好
681,1453492473,Never Fade Lotus,404 RAPPER
682,1404479816,你耍不来,Melo
683,1847059460,backbone,404 RAPPER
684,1408930588,POUR IT UP,404 RAPPER
685,1403510842,HANGSHI,KnowKnow
686,1827059566,空壳,谢帝
687,554893281,Workin,听歌（持续更新）
688,554106987,money talk,听歌（持续更新）
689,1339169930,Holda Me,Voice N Barz
690,1815928228,Lamborghini Mirrors,Lil Durk
691,1902203827,Young Stunna,Youngboy Never Broke Again
692,1902202972,Alligator Walk,Youngboy Never Broke Again
693,1902202970,Choppa Boy,Youngboy Never Broke Again
694,1902203825,100 Rounds,Youngboy Never Broke Again
695,1501858282,What's Brakkin,Maitchh
696,1824178301,Friends Die Younger!!,Carter Lovesee
697,1824178954,Worth It,Carter Lovesee
698,1824178950,Spend It,Carter Lovesee
699,1824178297,Rental,Carter Lovesee
700,1904661831,"[Beat] I need you ""polo G type beat""",Night devil BEAT
701,1902890944,"[Beat] Mafia ""Lil baby type Beat""",Night devil BEAT
702,1902836309,"[Beat] Moonlight ""21savage type Beat""",Night devil BEAT
703,1902710294,"[Beat] Street ""NLE choppa type Beat""",Night devil BEAT
704,1902686894,"[Beat] Evil ""Lil baby type Beat""",Night devil BEAT
705,1900832852,【Beat】Black“Asap Rocky type beat”,Night devil BEAT
706,1865902518,Get Rich or Die Tryin'{BoombapRapBeat},LocSTA
707,1429197670,"Boombap Type Beat ""Morality""",G23
708,1439767083,"【Free】""吹""BoomBap Type Beat",cLoner23
709,1894874479,【FREE BEAT】''Love Yourz'' J. Cole type beat,JestonBeatz
710,1419529775,孤独,巴顿
711,1462923102,午夜伤心电台,艾热 AIR
712,1460489987,天上的星星不说话（翻自 KOZAY/Rarpid望江晴）,桃茸
713,1430395316,困意,卓伟ByrneH
714,1433546720,朝阳广场Pt.2,卓伟ByrneH
715,1462159648,进退两难(live)（翻自 G.G(张思源)）,Puzzle陈俣欹
716,1458364520,Big Boy,野原新之木
717,1375640677,官方回答,OWEN欧阳子文
718,1411117172,没有你的圣诞（Prod.CDY）,野原新之木
719,1462145480,脑袋有 (Live)（翻自 JD）,C6060-9
720,1847687482,TAKING SHOTS,120SEVEN
721,1856395399,NIGHT DRIP CATCHER,SKINNY JONES
722,488267864,BETTA WATCH OUT,SOUDIERE
723,1861296142,GIVE A CHANCE,TAKATASHAWTY
724,1841403977,The Come Up,Katebi
725,1859834402,Lonely North Wind (feat. Necroez),Inteus
726,1869516244,Lotus Wolf,Sinner Circle
727,1860542436,Smoke N Choke,C1MA
728,1883304345,SHAKE IT,Roudie J.
729,1849259615,PONY FLIP,Hashy
730,1896483145,Meiko-给你 (Im In Love) Remix（ty）,炬
731,1904556134,天选,王以太
732,1894304892,装fengM窍(马思唯 ),Clearlove7777
733,1899515652,马思唯-尖子生（Beatbox Freestyle）,海尔 马思唯 CDC
734,1903409417,WDFA（马思唯dzno朴宰范）,晨晓
735,1426022021,Where You At,马思唯
736,1812671441,CEO LOVE(손만 잡을게 REMIX),LeeHX李鸿翔
737,1901606197,二环高架,Drunker
738,1885509643,Underground,Drunker
739,1896651893,有模有样,YOUNG20021119
740,1437030883,Love Yourself,艾志恒Asen
741,1894703169,繁星妥瑞斯,艾斯猴子
742,1902120092,Already Dead,Juice WRLD
743,1901605942,Crazy Wolf,Crazy C
744,1901845568,神罗天征しんらてんせいFt.佩恩（天道）,BOBBYNOPEACE
745,1901842762,富二代 Ft.MiggTakeYourRoom,BOBBYNOPEACE
746,1901879191,堕落街Down Street,BOBBYNOPEACE
747,1901878070,失乐园,BOBBYNOPEACE
748,1901880809,废话Damn Right Ft.Bambii斑比,BOBBYNOPEACE
749,1891750925,ball w/o u remix,KIV
750,1892240179,Capper-Huzzah!(Live),CoolLisa_m
751,1903127690,蒙着眼睛走,酷酷的骚骚
752,1898314914,Fade To Black（来自Buzzy）,Fade To Black
753,1886991516,1V5,Hiphop
754,1887893145,clot.45,Hiphop
755,1899160974,梦幻联动-我心中有些事 11.27 （aka相柳 remix）,aka相柳
756,1889199199,yee 会好的 live,aka相柳
757,1885131488,纽约到巴黎_1,Bu
758,1884975388,round2-(肖恩恩&mercy diss melo),jug_gap
759,1885965938,1992上-（艾福杰尼）,jug_gap
760,1371516993,美杜莎,慕斯塔法
761,1408437478,Mamacita,慕斯塔法
762,1893870774,Faded,慕斯塔法
763,1446520313,Baby,Mardan·omar
764,1426022014,没有人会不爱音乐,马思唯
765,1898637339,咖啡喝喝,SABADOCITYBOY
766,1433537418,葡萄架下的篝火,艾福杰尼
767,1813843370,不要过来跟我跳舞,龙泽宇
768,1335969675,今天 & 明天 （Cover Bad bunny）,GalipWulam
769,554380484,Melevlev玛勒芙勒芙,Matzka玛斯卡
770,1887278795,Rich Nigga Shit (with Juice WRLD),Young Thug
771,1894119297,Already Dead,Juice WRLD
772,1496468360,Dark Place,Lil Juice
773,1860971102,Last Message,Juice peep
774,1845573254,To Deep In,Sinorix
775,1845573257,Plus & Minus,Sinorix
776,1845573255,Out Of Place (Cursed),Sinorix
777,1847904844,Lullabies,1Htxr
778,1845573760,My Confessions,Sinorix
779,1822670033,Juce Wrld Two Perkies (Yummy Mix),Donald Ganim
780,1850225082,而立,刘悦spam-生番
781,1850219401,那一首歌,刘悦spam-生番
782,1850219403,Much Love,刘悦spam-生番
783,1850225080,To My Mom,刘悦spam-生番
784,1850225079,舍得,刘悦spam-生番
785,1850225081,画画儿,刘悦spam-生番
786,1327069428,贰叁柒,刘悦spam-生番
787,1353537237,红气球,刘悦spam-生番
788,1850219408,蓝气球,刘悦spam-生番
789,560786355,歃血为盟,丹镇北京
790,1890455320,Do it like this,Leyon B
791,1890455319,Get Low,Leyon B
792,1882688050,秩·序（Live）,阿斯巴田ASPT
793,1873162243,沦陷,达芬奇
794,1868188963,黑曜石,0-100
795,1864554578,Not Nice Cypher,Mai
796,1863450033,放纵,Leyon B
797,1863450032,对你说,阿斯巴田ASPT
798,1863450031,蝴蝶,Cas14
799,1863447042,秩·序,阿斯巴田ASPT
800,1497607674,[FREE] BOOMBAP TYPE BEAT,广西说唱之帝
801,1466539249,"【Sale】""FQ!"" BoomBap Type Beat",玩具士兵
802,1869745024,"Free Sad NF Type Beat - ""Change""",EVO MUSIC
803,1488737940,"【Free】""极致炫技""Diss Freestyle Type Beat""Eminem x NF""",DIVINE MUSIC
804,1823356477,"【Free】""极致对抗""Diss Freestyle Type Beat""Eminem""",DIVINE MUSIC
805,1481003314,"【Free】""极致炸裂""Diss Freestyle Type Beat “Eminem”",DIVINE MUSIC
806,1347784089,救赎,SamueWang
807,1873960795,“Vlone” // Trippie Redd × Sofaygo type beat,Xxankid
808,1871892159,[Free]''Recharge''-''NBA YoungBoy Type Beat'',Roccky
809,1498914345,"Jazz Melody Boombap Type Beat ""CONTROL""",COAST MUSIC
810,26807427,Gangsta Rap Made Me Do It (Instrumental),Ice Cube
811,427942006,Juicy (Remix Instrumental),The Notorious B.I.G.
812,1433929779,梦里飞,NB Liu
813,1302642122,白痴,武昌龙
814,435306326,Wei Cheng (围城）,YEHAIYAHAN
815,33984988,Bumbaclot - Outro,龍胆紫/PurpleSoul
816,21927527,Caravan of Love,The Isley Brothers
817,19074798,On My Block,Scarface
818,4177783,Hell on Earth (Front Lines),Mobb Deep
819,21187898,Welcome Back (Main),Mase
820,1900374747,thomeboydontkill,thomeboydontkill
821,1896445456,TOO BLESS3D,Mula Sakee
822,1895385833,暴雨,TOYOKI
823,1892852501,主角,艾志恒Asen
824,1891750925,ball w/o u remix,KIV
825,1885800438,刘华强 Liu Huaqiang（prod by brokeboiishawty）,mac ova seas
826,1882152364,陷阱丛林,Khunsa
827,1882152366,超狗任务,Khunsa
828,1876412616,Don't Touch My WHOOSIS,thomeboydontkill
829,1873633641,LOSE U,Mula Sakee
830,1902042807,@Hero,Mood
831,1901759663,@Aromor,Mood
832,1895967973,【Free Beat】“暴雨”TOYOKIxPop PUNK Type Beat,梅川业
833,1444301702,"Icytwat X Playboi Carti Type Beat ""Never""",Bvtter
834,1894567322,Yale,CXDI_JUICE
835,1893066701,Cartier,CXDI_JUICE
836,1806955863,FREE“WLR”-Playboi Carti Type Beat,Bubbleboy
837,1848581359,[FREE]Art Dealer + Playboi Carti Type Beat,四火0626
838,1893410008,@StarRager,Mood
839,1888672713,FA!RY,YvngRiva
840,1901389071,从东到西,ɔ:
841,1883689911,说唱听我的2 说唱推荐官CYPHER (Live),Alan Joker
842,1870303961,KEY.L刘聪、Don Caine $aint Laurent AK——现状lately（live）,Alan Joker
843,1893883770,一出现就很狂 2,Person
844,1900949132,Wrong Side（弹壳）,谢烦烦
845,1900940107,挥霍 (弹壳 ICE),谢烦烦
846,1384719265,818,金熙宇
847,1894316939,最渣男主角,Shooter
848,1378608437,NEVER FADE LOTUS,合肥之子
849,1868850975,飘散的炮灰,RQproducer
